Tamil,English
தன்னியக்கத்தால்,ex mero motu
பதவிவழி,Ex officio
ஒருபுடை,ex parte
தாய்வழியால்,ex parte materna
பிற்செயலால்,ex pot facto
முறையில் புணர்வினால்,ex prohibito concubitu
இழியேதுவால்,ex turpi causa
இழியேதுவால் வழக்கெழாது,ex turpi causa non oritur actio
செவ்விய தாளாண்மை,exactissima diligentia
பரீட்சித்தல்,examination
முதன்மை விசாரணை,examination in chief
உறுதியுரை மீதான விசாரணை,examination on affirmation
சத்தியத்தின் மீதான விசாரணை,examination on oath
பரீட்சி,examine
வாய்மொழிமூல விசாரணை,examine orally
பரீட்சகர்,examiner
ஆட்சேபிக்கப்பட்ட ஆவணப் பரீட்சகர்,examiner of quetioned documents
அகழ்தல்,excavation
தவிர,except
தவிர்க்கப்பட்ட வளாகம்,excepted premises
பணக்கொடையின்மைத் தடக்கு,exceptio de numerata pecunia
சத்தியத் தடக்கு,exceptio juris jurandi
(விற்று ஒப்படைத்தாயிற்றென்ற தடக்கு),exceptio rei venditae et traditae
விதிவிலக்கு,exception
விதிவிலக்கான சந்தர்ப்பங்கள்,exceptional  circumtances
விதிவிலக்கான பரிகாரம்,exceptional remedy
பிரித்தெடுபகுதி,excerpts
விஞ்சிய பங்குகள்,excess shares
நாணயமாற்று,exchange
அகவரியிடத்தகு,excisable
அகவரியிடத்தகு பொருள்,excisable article
மதுவரிப் பரிசோதகர்,excise inspector
மதுவரிச் சட்டம்,excise law
மதுவரி அலுவலர்,excise officer
மதுவரி கட்டளைச் சட்டம்,excise ordinance
நீக்குகை,excision
கிளர்வளிக்கும்,exclude
சான்று விலக்கல்,exclusive
புறநீங்கலான நியாயாதிக்கம்,exclusive jurisdiction
பிரத்தியேக சொந்தம்,exclusive ownership
பிரத்தியேக உடைமை,exclusive possession
பிரத்தியேக உரிமை,exclusive right
பிரத்தியேகப் பயன்பாடு,exclusive use
பிரத்தியேக,exclusively
குற்றமறு,exculpate
குற்றமறுக்கும் வாதவுரை,exculpatory plea
மன்னிக்கத்தகு ஆட்கொலை,excusable homicide
மன்னி,excuse
கடன் காரணமாக விற்பனை செய்தல்,excussion
தீங்கியல்வழியால்,ex-delicto
றிறைவேற்றுநர்,executant
எழுதிநிறைவேற்ற,execute
முறி எழுதிநிறைவேற்று,execute a bond
நிறைவேற்றிய,executed
நிறைவேற்றம்,execution
தீர்ப்புநிறைவேற்றக் கடன்வழங்குநர்,execution creditor
தீர்ப்புநிறைவேற்றக் கடனாளி,execution debtor
தீர்வை நிறைவேற்றம்,execution of decree
நம்பிக்கைப்பொறுப்பு நிறைவேற்றல்,execution of trut
நிறைவேற்று விற்பனை,execution sale
நிறைவேற்று,executive
நிறைவேற்றுத்துறைச் செயல்கள்,executive acts
நிறைவேற்று அதிகாரம்,executive authority
நிறைவேற்றுக்குழு,executive committee
உள்ளூராட்சி நிர்வாக நிறைவேற்றுக்குழு,executive committee of local administration
நிறைவேற்று அரசாங்கம்,executive government
நிறைவேற்று அலுவலர்,executive officer
நிறைவேற்றுப் பதவி,executive post.
நிறைவேற்றுத் தத்துவம்,executive power
நிறைவேற்றுநர்,executor
தானாயமர்ந்த நிறைவேற்றுநர்,executor de son tort
நிறைவேற்றுதல்,executorship
நிறைவேற்று,executory
நிறைவேற்றவான உடன்படிக்கை,executory agreement
நிறைவேற்றுநள்,executrix
எடுத்துக்காட்டான,exemplary
தண்டிக்கும் சேதங்கள்,exemplary damage
மாதிரிப்படி,exemplification
விலக்களி,exempt
விலக்களிப்புப் பெற்ற கம்பனி,exempted company
சேவை விலக்களிப்பு,exempted from service
விலக்களிப்பு,exemption
விற்பனையிலிருந்து,ex-empto
பிரயோகி,exercise
உதவி மூலம்,ex-gratia
பூரணமான,exhautive
காட்டிமுன்வை,exhibit
பொருட்காட்சி,exhibition
தோண்டியெடு,exhume
அவசரநிலை,exigency
நாடுதுறந்தார்,exiles
முன்னாய்வின்றி,ex-improviso
இருப்பு,exitence
நடைமுறையிலிருக்கும்,exiting
நடைமுறையிலிருக்கும் சட்டம்,exiting law
சட்டப் பூர்வமாயமைந்த காரணம்,ex-juta causa
வெற்றொப்பால் வழக்கெழாது,ex-nudo pacto non oritur actio
உயர் தகுதியினால்,ex-officio
உயர் அந்தஸ்து பெற்ற சமாதான நீதவான்,ex-officio jutice of peace
குற்ற விடுவிப்பு,exonerate
எதிர்பார்ப்பு,expectancy
மரண எதிர்ப்பார்ப்பு,expectation of death
வாழ்க்கையின் எதிர்ப்பார்ப்பு,expectation of life
உசிதமான,expedient
துரிதமான,expeditious
செலவு,expense
அனுபவம்,experience
நிபுணர்,expert
நிபுண சான்று,expert evidence
தேர்ச்சி பெற்ற சாட்சியாளர்,expe‍rt witness
நிபுணர் சாட்சியம்,expert witness
நிபுணர் அபிப்பிராயம்,experts' opinion
ஈடு செய்,expiate
காலாவதி,expiration
காலாவதியாகு,expiry
விளக்கு,explanation
விளக்கும்,explanatory
விளக்க  நிகழ்வு,explanatory fact
வெளிப்படையான,explicit
நாடியறி,explore
வெடிப்பு,explosion
வெடிக்கிற,explosive (a)
வெடிக்கும்,explosive (n)
ஏற்றுமதி,export
ஏற்றுமதி தொழில்,export indutry
அம்பலப்படுத்து,expose
விற்பனைக்காக வெளிக்காட்டு,expose for sale
விரித்துரைத்தல்,exposition
வெளிப்படுத்துகை,exposure
வெளிப்படையான நிபந்தனை,express condition
வெளிப்படையான ஒப்பந்தம்,express contract
வெளிப்படை வன்மம்,express malice
வெளிப்படையான அல்லது உட்கிடையான,express or implied
வெளிப்படுத்தப்பட்ட வாக்குறுதி,express promise
வெளிப்படையான ஏற்பாடுகள்,express provisions
வெளிப்படை நீக்கம்,express revocation
வெளிபடையான நியதிகள்,express terms
வெளிப்படையான விதிப்பு,express tipulation
வெளிப்படையான உரித்தாக்கல் வெளிப்படுத்துகை,express veting declaration
வெளிப்படையான கட்டுறுத்து,express warranty
வெளிப்படையான கட்டளை,expressed order
காணி,land
காணி கொள்ளுதல்,land acquisition
காணி சுவீகரித்தல் சட்டம்,land acquisition act
காணி சுவீகரித்தல் கட்டளைச் சட்டம்,Land Acquisition Ordinance
காணி பராதீனப்படுத்தல்,land alienation
காணி வழக்கு,land case
காணி ஆணையாளர்,land commissioner
காணி அபிவிருத்தி கட்டளைச்சட்டம்,Land Development Ordinance
காணி வடிகாலமைப்பு,land drainage
காணிக் கச்சேரி,land kachcheri
காணிஅடையாளக்குறி,land mark
காணி அலுவலர்,land officer
காணி மீட்பு கட்டளைச்சட்டம்,land redemption ordinance
காணிப் பதிவு,land registration
காணிப் பதிவகம்,land registry
காணி மீள ஏற்றல்,land resumption
காணி மீள எடுத்தல் கட்டளைச்சட்டம்,land resumption ordinance
காணி நிர்ணயம் செய்தல்,land settlement
காணி நிர்ணய கட்டளைகள் சட்டம்,land settlement ordinance
காணி நிர்ணயத் திட்டம்,land settlement scheme
நில அளவைகள் கட்டளைகள் சட்டம்,land surveys ordinance
காணி வரி,land tax
காணி வாரமுறை,land tenure
கிழமை,Land tenure
காணி கைமாற்றம்,land transfer
காணி நியாய சபை,land tribunal
சுங்க கப்பல்துறை காவலர்,land waiter
நிலஞ்சூழ்,landlocked
நிலக்கிழார்,landlord
நிலக்கிழாரும் வாடகைக் குடியிருப்பாளரும்,landlord and tenant
அரச காணி,lands
அரச காணி,crown
நிலத்தோற்றம்,landscape
நிர்வாக மொழி,language of administration
சட்டமியற்றும் மொழி,language of legislation
கல்லால் அடித்து கொல்லுதல்,lapidation
காலக்கழிவு,lapse
காலம் கடந்து போதல்,lapse of time
இழக்கப்பட்ட பகுதி,lapsed portion
பொருட் திருட்டு,larceny
சவுக்கடி,lash
கடுமையாக விமர்சித்தல்,lash
இறுதிச் சந்தர்ப்பவிதி,last opportunity rule
இறுதி விருப்பாவணம்,last will
இறுதி விருப்பாவணமும் மரண சாசனமும்,last will and statement
புலப்படாப் பொருண் மயக்கங்கள்,latent ambiguities
புலப்படாக் குறைபாடு,latent defect
புலப்படா ஏற்றம்,latent increment
புலப்படா அநிச்சயம்,latent uncertainty
துணையாதாரம்,lateral support
சட்டம்,law
நீதிமன்றம்,law court
சட்டத் திறனாய்வாளர்,law critic
அப்போதைக்கு வலுவிலுள்ள சட்டம்,law for the time being in force
சட்ட நூலகம்  புத்தகசாலை,law library
சட்டமியற்றும் பொருத்தனை,law making treaty
முகவராண்மைச் சட்டம்,law of agency
அண்மைச்சார்வு விதி,law of contiguity
ஒப்பந்தச் சட்டம்,law of contract
குறையும் வரம்புப் பயன் விதி,law of diminishing marginal utility
ஆங்கிலேயச் சட்டம்,Law of England
சான்றுச் சட்டம்,law of evidence
நட்டவிலக்குச் சட்டம்,Law of indemnity
தண்டவிலக்குச் சட்டம்,law of indentity
மரபுரிமைச் சட்டம்,law of inheritance
இயற்கைச் சட்டம்,law of nature
பங்காண்மைச் சட்டம்,law of partnership
ஆள்சார் சட்டம்,law of persons
காலவிதிப்புச் சட்டம்,law of prescription
ஆதனஞ்சார் சட்டம்,law of property
பின்னுரிமைச் சட்டம்,law of succession
தீங்கியற் சட்டம்,law of tort
நம்பிக்கைப்பொறுப்புச் சட்டம்,law of truts
யுத்தச் சட்டம்,law of war
சட்ட நடவடிக்கைகள்,law proceedings
சட்ட மீள்சீரமைப்பு,law reform
சட்ட அறிக்கை,law report
சட்ட அறிக்கைகள்,law reports
சட்ட மீளாய்வு,law revision
சட்ட மீளாய்வுக் குழு,law revision committee
சட்டக் கழகம்,law society
சட்டப் பதங்கள்,law terms
சட்டமுறையான,lawful
சட்டமுறையான செயல்,lawful act
சட்டமுறையான அதிகாரம்,lawful authority
சட்டமுறையான ஏது,lawful cause
சட்டமுறையான குற்றச்சாட்டு,lawful charge
சட்டமுறையான கட்டுக்காவல்,lawful cutody
சட்டமுறையான  தடுத்துவைப்பு,lawful detention
சட்டமுறையான விதிவிலக்கு,lawful exception
சட்டமுறையான சாக்கு,lawful excuse
சட்டமுறையான பாதுகாவலர்,lawful guardian
சட்டமுறையான இடையூறு,lawful hindrance
சட்டமுறையாக வைத்திருப்போர்,lawful holder
சட்டமுறையான தடங்கல்,lawful impediment
சட்டமுறையான நியாயப்படுத்துகை,lawful jutification
சட்டமுறையான விவாகம்,lawful marriage
சட்டமுறையான கட்டளை,lawful order
சட்டமுறையான சொந்தம்,lawful ownership
சட்டமுறையான உடைமை,lawful possession
சட்டமுறையான வீதம்,lawful rate
சட்டமுறையான வேண்டுகோள்,lawful request
சட்டமுறையான வாக்கெடுப்பு,lawful vote
சட்டமுறையான விவாகம்,lawful wedlock
சட்டமுறையாக,lawfully
சட்டமுறையாக அதிகாரமளிக்கப்பட்ட,lawfully authorised
சட்டமுறையாக உரித்துடைய,lawfully entitled
சட்டவிகந்த,lawless
சட்டத் துடர்ச்சி,lawsuit
சட்ட அறிஞர்,lawyer
இட்டுவை,lay
பாராளுமன்றத்தின்முன் இடு,lay  before the parliament
ஒதுக்கிவை,lay by
ஒதுக்கிய நாள்,lay day
தொழில்சார் தகுதியற்ற சட்டங்கள்,lay jurist
திட்ட அமைப்பு உருவரைகள்,layout designs
கொண்டு நடாத்துதல்,lead
பிரதான வழக்கு,lead case
சான்று நெறிப்படுத்து,lead evidence
தலையாய ஆதாரம்,leading authority
தலையாய வழக்கு,leading case
விடைதொனி வினா,leading quetion
குழுமம்,league
நாடுகள் குழுமம்,league of nations
லீப் ஆண்டு,leap year
குத்தகை,lease
குத்தகை ஒப்பந்தம்,lease agreement
இச்சைக் குத்தகை,lease at will
வாடகை குத்தகை,lease rental
வழமைபுறத்த வடிவக் குத்தகை,lease uncommon form
குத்தகை நிலம்,leasehold
குத்தகைப்பாற்பட்ட மரணச்சொத்து,leasehold estate
குத்தகைக்கு விடல்,leasing
அனுமதி,leave
அனுமதியும் உரிமமும்,leave and licence
வராமைக்கான அனுமதி,leave of absence
நீதிமன்றத்தின் அனுமதியுடன்,leave of court
நீதிபதியின் அனுமதியுடன்,leave of the judge
மேன்முறையீட்டுக்கான அனுமதி,leave to appeal
தொடர்வதற்கான அனுமதி,leave to proceed
உயில்பேறு,legacy
சட்டரீதியான செயல்,legal act
சட்டரீதியான ஏல்தகைமை,legal admissiability
சட்டமதியுரை,legal advice
சட்டமதியுரைஞர்,legal adviser
சட்டரீதியான வயது,legal age
சட்டரீதியான சாட்டுதல்,legal assignment
சட்ட உதவியாளர்,legal assitant
சட்டப் பொறுப்பு,legal burden
சட்டப் பண்பு,legal character
சட்டக் கருத்து,legal concept
சட்ட விளைவு,legal consequence
சட்டக்கருத்து மாறுபாடு,legal controversy
சட்ட இணைவுகள்,legal correlations
சட்ட வழக்குச்செலவு,legal cost
சட்டக் கொடூரம்,legal cruelty
சட்ட நாணயம்,legal currency
சட்டக் கட்டுக்காவல்,legal cutody
சட்ட வழக்காறு,legal cutom
சட்டரீதியான எதிர்காப்பு,legal defence
சட்டக் கோரிக்கை,legal demand
சட்ட வேறுபாடு,legal difference
சட்ட இயலாமை,legal disability
சட்டக் கோட்பாடு,legal doctrine
சட்ட ஆவணம்,legal document
சட்டக் கடமை,legal duty
சட்டரீதியான வசதியுரிமை,legal easement
சட்ட விளைவு,legal effect
சட்டக் கூறுகள்,legal elements
சட்டத்தனியுரு,legal entity
சட்ட வழு,legal error
சட்டரீதியான சொத்து,legal estate
சட்டச் சான்று,legal evidence
சட்டக் கட்டணங்கள்,legal fees
சட்டப் புனைவு,legal fiction
சட்டவலு,legal force
சட்டக்கலப்பு,legal hybridity
சட்டத் தடங்கல்,legal impediment
சட்டவிளைவுகள்,legal implications
சட்ட சாத்தியமின்மை,legal impossibility
சட்ட தகவின்மை,legal incapacity
சட்டத் தீங்கு,legal injury
சட்ட நிறுவனம்,legal institution
சட்ட அக்கறை,legal interest
சட்ட பிரச்சினை,legal issue
சட்ட நியாயாதிக்கம்,legal jurisdiction
சட்டி நீதி,legal justice
சட்ட ரீதியான காப்பாளர்,legal keeper
சட்டப் பொறுப்பு,legal liability
சட்டச் சோந்தை,legal lien
சட்ட ஒழுக்கப் பண்பு,legal morality
சட்டவழி ஈடு,legal mortgage
சட்டப்படி ஈடுவைப்போன்,legal mortgagee
சட்ட ஆட்சேபம்,legal objection
சட்டக் கட்டுப்பாடு,legal obligation
சட்டச் செயற்பாடு,legal operation
சட்டவழிக் கட்டளை,legal order
சட்டவழிச் சொந்தக்காரன்,legal owner
சட்டவழிச் சொந்தம்,legal ownership
சட்டக் கட்சியினர்,legal parties
சட்ட ஆள்,legal person
சட்டவழித் தனிப்பட்ட பிரதிநிதி,legal personal representative
சட்ட ஆளுமை,legal personality
சட்டச் சொல் நடை,legal phraseology
சட்டக் கொள்கை,legal policy
சட்டவழி உடைமை,legal possession
சட்ட வழமை,legal practice
சட்டத் தொழிலர்,legal practitioner
சட்ட ஊகம்,legal presumption
சட்டக் கோட்பாடு,legal principle
சட்ட நடவடிக்கை முறை,legal procedure
சட்ட நடவடிக்கை,legal proceeding
சட்டச் செயல்முறை,legal process
சட்டத் தொழில்சார் சிறப்புரிமை,legal professional privilege
சட்டப் பாதுகாப்பு,legal protection
சட்டத் தகைமை,legal qualification
சட்ட இயைபு,legal relevancy
சட்டப் பரிகாரம்,legal remedy
சட்டரீதியான ஊதியம்,legal remuneration
சட்டப் பிரதிநிதி,legal representative
சட்டரீதியான மட்டுப்பாடு,legal retriction
சட்ட உரிமை,legal right
சட்ட அறிவியல்,legal science
சட்டச் செயலாளர்,legal secretary
சட்டரீதியான பிரிவு,legal separation
சட்ட முக்கியத்துவம்,legal significance
சட்ட இறைமை,legal sovereignty
சட்ட முறைமை,legal sytem
சட்ட அமைப்பு,Legal sytem
சட்டத்தரம்,legal tandard
சட்ட நுட்பங்கள்,legal technicalities
சட்டச் செலாவணி,legal tender
அளிப்பு,Legal tender
சட்டக் கோட்பாடு,legal theory
சட்டச் சம்பிரதாயம்,legal tradition
சட்டப் பயன்பாடு,legal usage
சட்டத் தவறு,legal wrong
சட்டபூர்வமாக்கு,legalise
சட்டத்தன்மை,legality
குறிக்கோளின் சட்டத்தன்மை,legality of object
சட்டப்படி,legally
சட்டப்படி ஏல்தகு சான்று,legally admissible evidence
சட்டப்படி அதிகாரமளிக்கப்பெற்ற,legally authorized
சட்டப்படி பிணிக்கும்,legally binding
சட்டப்படி பிணைக்கப்பட்ட,legally bound
சட்டப்படி கட்டாயப்படுத்தக்கூடிய,legally compellable
சட்டப்படி தகுதியுடைய,legally competent
சட்டப்படி உரித்துடைய,legally entitled
சட்டப்படி குற்றமற்ற,legally innocent
சட்டத் தகைமைபெற்ற,legally qualified
விருப்பாவணக் கொடையுணி,legatee
தெளிவான,legible
தெளிவாக எழுதப்பட்ட,legibly written
சட்டமியற்றும்,legislative
சட்டவாக்கப் பேரவை,legislative assembly
சட்டவாக்க அதிகாரம்,legislative authority
சட்டவாக்கத் தன்னாட்சி,legislative autonomy
சட்டவாக்கப் பொருளமைப்பு,legislative contruction
சட்டவாக்கச் சபை,legislative council
சட்டவாக்கப் பணிகள்,legislative functions
சட்டவாக்க அலுவலர்,legislative officer
சட்டவாக்க சர்வவல்லமை,legislative omnipotence
சட்டவாக்கத் தத்துவம்,legislative power
சட்டவாக்க மீயுரிமை,legislative prerogative
சட்டவாக்கக் கணிப்பு,legislative recognition
சட்டவாக்க அங்கீகாரம்,legislative sanction
சட்டவாக்க இறைமை,legislative sovereignty
சட்டவாக்க மேலாதிக்கம்,Legislative supermacy
சட்ட மன்றம்,legislature
நெறிமுறைமை,legitimacy
நெறிமுறைமை வழக்கு,legitimacy case
நெறிமுறைமை வெளிப்படுத்துகை,legitimacy declaration
நெறிமுறையான,legitimate
நெறிமுறைப் பிற்சந்ததி,legitimate descendant
நெறிமுறையான அனுமானம்,legitimate inference
நெறிமுறைப் பிள்ளை,legitimate issue
நெறிமுறையான அக்கறை,legitimateinterest
சட்டநெறிமுறைப்படுத்தல்,legitimation
நியாயபூர்வப்படுத்துதல்,legitimization
நியாயபூர்வப்படுத்து,legitimize
கடன் கொடுத்தல்,lend
கடன்கொடுப்பவர்,lender
கடன்கொடுக்கும் நிறுவனம்,lending institute
எளிய தண்டனை,lenient punishment
தன்னின சேர்க்கையினள்,lesbian
சேதச்சிதைவு,lesion
குத்தகைகொளி,lessee
தணிந்த தவறு,lesser offence
தணிந்த வழக்குத் தீர்ப்பு,lesser verdict
குத்தகையளிக்குநர்,lessor
வாடகைக்கு கொடுத்தல்,let
மரணமிழைக்கும் ஆயுதம்,lethal weapon
ஏற்புக் கடிதம்,letter of acceptance
அற்றோணிப் பத்திரம்,letter of attorney
அதிகாரம் வழங்கும் கடிதம்,letter of authorization
நாணயப் பத்திரம்,letter of credit
கோரிக்கைப் பத்திரம்,letter of demand
செலாவணிப் பத்திரம்,letter of exchange
உரிமப் பத்திரம்,letter of licence
நிருவாகத்தத்துவப் பத்திரம்,letters of admintration
அறிமுகப் பத்திரம்,letters of credence
உரிமைப் பட்டயம்,letters patent
வாடகைக்குவிடலும் எடுத்தலும்,letting and hiring
மட்டமாக்குநர்,leveller
எளிய,levis
அறவிடு,levy
பொறுப்புகள்,liabilities
ஏற்போன் பொறுப்புக்கள்,liability of acceptor
ஊக்குவிப்போன் பொறுப்புக்கள்,liability of promoters
ஆளாதல்,liable
சேதவீட்டுக்கு ஆளாதல்,liable in damages
அவதூறு,libel
அவதூறான,libellous
பழிதகு குணவியல்பு,libellous character
விடுவி,liberate
விடுதலை,liberty
குடிமக்கள் விடுதலை,liberty of the subject
உரிமம்,licence
உரிம ஒப்பந்தம்,licence contract
உரிம வரிகள்,licence taxes
உரிமமளி,license
உரிமம் பெற்ற வணிக வங்கி,licensed commercial bank
உரிமம் பெற்ற பாற்பண்ணை,licensed dairy
உரிமம் பெற்ற அளவையாளர்,licensed surveyor
உரிமம் பெற்றவர்,licensee
உரிமமளித்தல்,licensing
உரிமமளிக்கும் அதிகாரி,licensing authority
உரிமமளிப்போன்,licensor
உரிமத்தவர்,licentiate
சோந்தை,lien
பதிலாள்,lieutenant
ஆயுள் ஆட்டை,life annuity
ஆயுட் காப்பீடு,life assurance
உயிர்கா மிதவை,life buoy
ஆயுட் சொத்து,life estate
ஆயுட் காப்புறுதி,life insurance
ஆயுட் காப்புறுதி நிதி,life insurance fund
ஆயுட்கால பெருமகார்,life peer
ஆயுட் காப்புறுதி பூட்கை,life policy
ஆயுட்கால வாடகைக் குடியிருப்பாளர்,life tenant
ஆயுட்காலக்கொளி,life-holder
ஆயுள் நலவுரித்து,life interest
வரையறுத்தல்,limitation
வழக்குகளுக்கான மட்டுப்பாடு,limitation of actions
பொறுப்பின் மட்டுப்பாடு,limitation of liability
வரையறுக்கப்பட்ட,limited
வரையறுக்கப்பட்ட அதிகாரம்,limited authority
வரையறுக்கப்பட்ட காவி உரிமம்,limited carrier's licence
வரையறுக்கப்பட்ட கம்பெனி,limited company
வரையறுக்கப்பட்ட பொறுப்பு,limited liability
வரையறுக்கப்பட்ட பொறுப்புடைய கம்பெனி,limited liability company
வரையறுக்கப்பட்ட பங்காளி,limited partner
வரையறுக்கப்பட்ட பங்காண்மை,limited partnership
வழித்தோன்றல் மரபு,line of descent
நேர்வழித்தோன்றல் மரபு,line of direct descent
வமிசம்,lineage
மரபுவழி முந்தையர்,lineal ancetors
மரபுவழி உறவு,lineal consanguinity
மரபுவழி பிற்சந்ததி,lineal descendants
மரபுவழி பரம்பரை,lineal descent
மரபுவழி மகவு,lineal issue
இணைப்பு மொழி,link language
திரவ,liquid
திரவச் சொத்துக்கள்,liquid assets
அறுதியிட்ட உரிமைக்கோரிக்கை,liquid claim
எளிதெய்து நிதிகள்,liquid funds
ஒழித்துக்கட்டு,liquidate
ஒழித்துக்கட்டிய,liquidated
அறுதியிட்ட இழப்பீடுகள்,liquidated damages
அறுதியிட்ட கோரிக்கை,liquidated demand
ஒழித்துக்கட்டல்,liquidation
ஒழித்துக்கட்டுநர்,liquidator
பட்டியல்,list
ஆவணப் பட்டியல்,list of documents
சாட்சி நிரல்,list of witnesses
பட்டியலிடப்பட்ட கம்பெனி,listed company
பட்டியலிடப்பட்ட தொக்கு,listed stock
எழுத்தறிவு,literacy
எழுத்தறிவு தகைமை,literacy qualification
எழுத்துச் சார்ந்த,literal
எழுத்து உடன்படிக்கை,literal contract
எழுத்துச் சேதம்,literal injury
எழுத்திலான சான்று,literal proof
இலக்கியப் படைப்பு,literary work
எழுத்தறிவுடையவர்,literate
கல்லெலுத்து,lithography
வழக்காடி,litigant
வழக்காடல்,litigation
வாரக,littoral
வாரக அரசு,littoral state
சீவனோபாயம்,livelihood
ஆதனவொப்படைப்பாணை,livery
கைக்கோள் அளிப்பு,livery of seisin
பண்ணைவிலங்கு,livestock
பாரவரை,load line
கடன்,loan
கடன் உடன்படிக்கை,loan agreement
கடன் சபை,loan board
உள்ளூர் அதிகாரசபை,local authority
உள்ளூர்க் குழு,local committee
ஊர் வழக்கம்,local custom
தேச வழமைச் சட்டம்,local customary law
உள்ளூராட்சி,local government
உள்ளூராட்சி சேவை,local government service
தலத்து ஆய்வு,local invetigation
இட நியாயாதிக்கம்,local jurisdiction
உள்ளூர் காணி ஆலோசனைக் குழு,local land advisory committee
உள்நாட்டுச் சட்டம்,local law
உள்ளூர் அதிகார எல்லை,local limits
உள்ளூர் அதிகார எல்லை நியாயாதிக்கம்,local limits of jurisdiction
உள்ளூர் சுயாட்சி,local self government
உள்நாட்டு திறைசேரி உண்டியல் கட்டளைகள் சட்டம்,local treasury bills ordinance
உள்ளூர் வழக்கு,local usage
அமைவிடம்,location
இருப்பிடங்காட்டி,locator
கதவடைப்பு,lock-out
சிறைக் கூண்டு,lock-up
உறைவோன்,lodger
சமர்ப்பித்தல். தற்காலிக வசிப்பிடம்,lodging
உறைமனை,lodging house
உறைமனைக் காப்பாளர்,lodging house keeper
சம்பவ ஏடு,log book
தருக்கமுறை,logical
தருக்கமுறை எண்ணக்கரு,logical concept
தருக்கமுறைப் பொருள்கோடல்,logical interpretation
தருக்கமுறைக் குறைபாடு,logically defective
அலைந்துதிரிதல்,loitering
நீளறை,long room
நீண்டகால,long term
நீண்டகாலக் குத்தகை,long term lease
விரிவுத் தலைப்பு,long title
சூறைகொள்பொருள்,loot
சூறையாடு,loot
பிரபு சான்சிலர்,lord chancellor
மேன்முறையீட்டு நீதிமன்ற நீதிபதிகள்,lords of appeal
இழப்பீடு,loss
துணைமை இழப்பு,loss of consortium
உழைப்பிழப்பு,loss of earnings
தொழில் இழப்பு,loss of employment
எண்ணிய வாழ்காலத்தின் இழப்பு,loss of expectation of life
உடைமை இழப்பு,loss of possession
இலாப இழப்பீடு,loss of profits
பிரசித்தம் நலிவடைதல்,loss of publicity
சேவை இழப்பு,loss of service
தொலைந்த பற்றுச்சீட்டு,lost bill
தொலைந்த ஆவணம்,lost document
சீட்டிழுப்பு,lot
உரப்பு,loudness
வற்று மட்டம்,low watermark
கீழ் நீதிமன்றம்,lower court
தெளிவுக்காலம்,lucid interval
தெளிவு,lucidity
பொருளனுப்பு முழுக் கட்டணம்,lump sum freight
உன்மத்த வழக்குநடவடிக்கைகள்,lunacy proceedings
சந்திர மாதம்,lunar month
உன்மத்தன்,lunatic
கரந்துறை வீடு அத்துமீறல்,lurking house trespass
பணித்துறை முத்திரைக்கோல்,mace
பணித்துறை முத்திரைக்கோலேந்துநர்,mace bearer
எந்திரம்,machine
எந்திரத்தொகுதி,machinery
பருப்பொருளாதாரம்,macro-economics
தோட்டாக்கலம்,magazine
நீதிவான் அலுவலகம்,magistracy
நீதிவான்,magistrate
நீதிவான் நீதிமன்றம்,magistrate's court
மக்னா காட்டா,Magna Carta
அங்கவீனப்படுத்தல்,maiming
பராமரி,maintain
கொண்டுநடாத்துதகு,maintainable
வழக்கூக்கி,maintainer
பராமரிப்பு,maintenance
பங்குவிழை வழக்,maintenance and champerty
பராமரிப்பும் உதவியும்,maintenance and support
பராமரிப்புக் கட்டளை,maintenance order
பெரும்பான்மை,majority
முற்றகவையர்,majors
ஒப்படைத்தல்,make over
வறிதாக்கு,make void
இணக்கப்பாடாகும் நாள்,making - up day
தீயெண்ணமுடைய,mala fide
தானாயேற்பட்ட தவறு,mala in se
பயிற்சியற்ற வைத்திய சிகிச்சை,mala praxis
தடைசெய்யப்பட்ட தீமை,mala prohibita
தீங்கிழைப்பவர்,malefactor
தீய,malevolent
தீய உந்தல்,malevolent impulse
தகாச் செயல்,malfeasance
தீயநோக்கம்,malice
சட்டத்திலிருந்து தெளிவாகும் தீய நோக்கம்,malice in fact
தீயநோக்குடைய,malicious
தீயநோக்குடைய செயல்,malicious act
வன்மச் சேதம்,malicious damage
தீயநோக்குடைய கைவிடல்,malicious desertion
தீயநோக்குடைய நிறைவேற்றம்,malicious execution
தீயநோக்குடைய அசத்தியம்,malicious faleshood
தீயநோக்குடைய சேதம்,malicious injury
தீயநோக்குடன் உடலுக்குத் தீங்கிழைத்தல்,malicious injury to preson
தீயநோக்குடன் சொத்துக்களுக்கு சேதமேற்படுத்தல்,malicious injury to property
தீயநோக்குடன் வழக்குத் தொடர்தல்,malicious institution
தீயநோக்குடன் குற்றவியல் வழக்குத் தொடர்தல்,malicious institution of criminal proceedings
தீயநோக்குடன் வழக்கைத் தொடர்தல்,malicious prosecution
தீய நோக்குடைய கூற்று,malicious statement
தீய நோக்குடைய அத்துமீறல்,malicious trespass
தீய நோக்குடைய தவறு,malicious wrong
தீயநோக்கத்துடன்,maliciously
பூர்வஜென்ம தீங்கு,malitia praecogitata
வயதுக்குறைவை வன்மம் நிரப்பும்,malitia supplet aestatem
குற்றமுறைப் பிறழ்நடத்தை,malpractice
பதவி,malversation
சாதாரண சாவதானி,man of ordinary prudence
செயற்றிறனாளன்,man of skill
பயனற்றவன்,man of straw
